Country,Pos,EBF,H-met,W-met,H-imp,lbs,st-lb,Player name
N,centre,475,183cm,87 kg,"6' 0""",192,13s10,Darryl De la Harpe
f,prop,674,190cm,128kg,"6' 3""",282,20s 2,Vincent Debaty
s,back-row,582,196cm,114kg,"6' 5""",251,17s13,David Denton
a,back-row,560,193cm,108kg,"6' 4""",238,17s 0,Javier Ortega Desio
N,centre,508,183cm,93 kg,"6' 0""",205,14s 9,Johan Deysel
a,prop,622,185cm,115kg,"6' 1""",254,18s 2,Matias Diaz
s,prop,600,185cm,111kg,"6' 1""",245,17s 7,Alasdair Dickinson
U,back-row,545,198cm,108kg,"6' 6""",238,17s 0,Cameron Dolan
A,Lock,589,202cm,123kg,"6' 8""",271,19s 5,Kane Douglas
R,hooker,603,189cm,114kg,"6' 2""",251,17s13,Bismark Du Plessis
R,prop,644,188cm,121kg,"6' 2""",267,19s 1,Jannie Du Plessis
N,back-row,524,191cm,100kg,"6' 3""",220,15s10,Tinus Du Plessis
R,scrum-half,500,182cm,91 kg,"6' 0""",201,14s 5,Fourie Du Preez
R,Lock,575,200cm,115kg,"6' 7""",254,18s 2,Pieter-Steph Du Toit
f,fullback,455,178cm,81 kg,"5'10""",179,12s11,Brice Dulin
M,fly-half,422,187cm,79 kg,"6' 2""",174,12s 6,Danut Dumbrava
f,centre,547,190cm,104kg,"6' 3""",229,16s 5,Alexandre Dumoulin
Y,scrum-half,422,166cm,70 kg,"5' 5""",154,11s 0,Alejo Duran
Y,prop,674,175cm,118kg,"5' 9""",260,18s 8,Oscar Duran
U,prop,590,188cm,111kg,"6' 2""",245,17s 7,Andrew Durutalo
f,back-row,532,188cm,100kg,"6' 2""",220,15s10,Thierry Dusautoir
I,centre,500,180cm,90 kg,"5'11""",198,14s 2,Keith Earls
N,prop,634,186cm,118kg,"6' 1""",260,18s 8,Jaco Engels
Y,fullback,466,178cm,83 kg,"5'10""",183,13s 1,Geronimo Etcheverry
R,Lock,574,204cm,117kg,"6' 8""",258,18s 6,Eben Etzebeth
C,fullback,486,183cm,89 kg,"6' 0""",196,14s 0,Matt Evans
S,fly-half,494,180cm,89 kg,"5'11""",196,14s 0,Patrick Fa'apale
S,back-row,586,191cm,112kg,"6' 3""",247,17s 9,Maurie Fa'asavalu
W,back-row,590,188cm,111kg,"6' 2""",245,17s 7,Taulupe Faleatu
S,back-row,605,185cm,112kg,"6' 1""",247,17s 9,Alafoti Faosiliva
A,back-row,556,198cm,114kg,"6' 6""",251,17s13,Scott Fardy
E,fly-half,489,188cm,92 kg,"6' 2""",203,14s 7,Owen Farrell
Z,prop,703,185cm,130kg,"6' 1""",287,20s 7,Charlie Faumuina
i,back-row,560,184cm,103kg,"6' 0""",227,16s 3,Simone Favaro
Z,centre,529,187cm,99 kg,"6' 2""",218,15s 8,Malakai Fekitoa
U,hooker,590,188cm,111kg,"6' 2""",245,17s 7,Zach Fenoglio
M,fullback,417,180cm,75 kg,"5'11""",165,11s11,Catalin Fercu
a,back-row,560,193cm,108kg,"6' 4""",238,17s 0,Juan Martin Fernandez Lobbe
f,centre,518,191cm,99 kg,"6' 3""",218,15s 8,Gael Fickou
T,scrum-half,579,183cm,106kg,"6' 0""",234,16s10,Samisoni Fisilau
I,wing,495,186cm,92 kg,"6' 1""",203,14s 7,Luke Fitzgerald
f,Lock,553,206cm,114kg,"6' 9""",251,17s13,Alexandre Flanquart
f,centre,511,182cm,93 kg,"6' 0""",205,14s 9,Welsey Fofana
A,fullback,534,193cm,103kg,"6' 4""",227,16s 3,Israel Folau
A,fly-half,489,182cm,89 kg,"6' 0""",196,14s 0,Bernard Foley
T,back-row,736,197cm,145kg,"6' 6""",320,22s12,Opeti Fonua
E,fly-half,472,178cm,84 kg,"5'10""",185,13s 3,George Ford
s,hooker,611,185cm,113kg,"6' 1""",249,17s11,Ross Ford
T,fly-half,554,184cm,102kg,"6' 0""",225,16s 1,Latiume Fosita
S,scrum-half,511,184cm,94 kg,"6' 0""",207,14s11,Kahn Fotuali'i
W,prop,757,185cm,140kg,"6' 1""",309,22s 1,Tomas Francis
Z,prop,649,185cm,120kg,"6' 1""",265,18s13,Ben Franks
Z,prop,649,185cm,120kg,"6' 1""",265,18s13,Owen Franks
U,prop,613,191cm,117kg,"6' 3""",258,18s 6,Eric Fry
J,wing,489,184cm,90 kg,"6' 0""",198,14s 2,Yoshikazu Fujita
J,wing,474,175cm,83 kg,"5' 9""",183,13s 1,Kenki Fukuoka
I,prop,643,185cm,119kg,"6' 1""",262,18s10,Tadhg Furlong
i,Lock,513,199cm,102kg,"6' 6""",225,16s 1,Joshua Furno
i,Lock,586,198cm,116kg,"6' 6""",256,18s 4,Marco Fuser
M,centre,492,183cm,90 kg,"6' 0""",198,14s 2,Csaba Gal
a,Lock,567,203cm,115kg,"6' 8""",254,18s 2,Mariano Galarza
Y,back-row,456,171cm,78 kg,"5' 7""",172,12s 4,Juan Manuel Gaminara
i,centre,519,185cm,96 kg,"6' 1""",212,15s 2,Gonzalo Garcia
i,Lock,571,203cm,116kg,"6' 8""",256,18s 4,Quintin Geldenhuys
A,scrum-half,471,174cm,82 kg,"5' 9""",181,12s13,Will Genia
E,hooker,595,183cm,109kg,"6' 0""",240,17s 2,Jamie George
i,hooker,541,183cm,99 kg,"6' 0""",218,15s 8,Leonardo Ghiraldini
i,hooker,590,183cm,108kg,"6' 0""",238,17s 0,Davide Giazzon
Y,wing,447,179cm,80 kg,"5'10""",176,12s 8,Santiago Gibernau
s,Lock,597,201cm,120kg,"6' 7""",265,18s13,Grant Gilchrist
C,back-row,459,185cm,85 kg,"6' 1""",187,13s 5,Kyle Gilmour
G,wing,464,183cm,85 kg,"6' 0""",187,13s 5,Muraz Giorgadze
A,centre,472,178cm,84 kg,"5'10""",185,13s 3,Matt Giteau
F,centre,545,178cm,97 kg,"5'10""",214,15s 4,Vereniki Goneva
E,fullback,506,180cm,91 kg,"5'11""",201,14s 5,Alex Goode
G,back-row,615,195cm,120kg,"6' 5""",265,18s13,Mamuka Gorgodze
i,scrum-half,455,178cm,81 kg,"5'10""",179,12s11,Edoardo Gori
J,fullback,535,185cm,99 kg,"6' 1""",218,15s 8,Ayumu Goromaru
s,prop,607,183cm,111kg,"6' 0""",245,17s 7,Ryan Grant
s,Lock,601,198cm,119kg,"6' 6""",262,18s10,Jonny Gray
s,Lock,606,208cm,126kg,"6'10""",278,19s12,Richie Gray
S,prop,647,170cm,110kg,"5' 7""",243,17s 5,Jake Grey
N,centre,465,187cm,87 kg,"6' 2""",192,13s10,JC Greyling
f,hooker,574,183cm,105kg,"6' 0""",231,16s 7,Guilhem Guirado
f,wing,467,184cm,86 kg,"6' 0""",190,13s 8,Sofiane Guitoune
R,wing,522,180cm,94 kg,"5'11""",207,14s11,Bryan Habana
T,wing,455,189cm,86 kg,"6' 2""",190,13s 8,David Halaifonua
s,back-row,563,183cm,103kg,"6' 0""",227,16s 3,John Hardie
E,back-row,588,194cm,114kg,"6' 4""",251,17s13,James Haskell
C,wing,522,178cm,93 kg,"5'10""",205,14s 9,Jeff Hassler
J,prop,646,178cm,115kg,"5'10""",254,18s 2,Kensuke Hatakeyama
I,prop,622,185cm,115kg,"6' 1""",254,18s 2,Cian Healy
C,centre,526,190cm,100kg,"6' 3""",220,15s10,Ciaran Hearn
I,back-row,570,193cm,110kg,"6' 4""",243,17s 5,Jamie Heaslip
T,wing,568,185cm,105kg,"6' 1""",231,16s 7,Will Helu
I,Lock,581,198cm,115kg,"6' 6""",254,18s 2,Iain Henderson
I,back-row,560,191cm,107kg,"6' 3""",236,16s12,Chris Henry
I,centre,531,192cm,102kg,"6' 4""",225,16s 1,Robbie Henshaw
a,centre,497,187cm,93 kg,"6' 2""",205,14s 9,Juan Martin Hernandez
a,prop,634,194cm,123kg,"6' 4""",271,19s 5,Ramiro Herrera
J,wing,551,178cm,98 kg,"5'10""",216,15s 6,Karne Hesketh
s,scrum-half,474,175cm,83 kg,"5' 9""",183,13s 1,Sam Hidalgo-Clyne
C,fly-half,492,183cm,90 kg,"6' 0""",198,14s 2,Nathan Hirayama
J,wing,474,173cm,82 kg,"5' 8""",181,12s13,Toshiaki Hirose
J,scrum-half,434,166cm,72 kg,"5' 5""",159,11s 5,Atsushi Hiwasa
s,fullback,517,180cm,93 kg,"5'11""",205,14s 9,Stuart Hogg
J,back-row,596,188cm,112kg,"6' 2""",247,17s 9,Ryu Koliniasi Holani
A,prop,610,187cm,114kg,"6' 2""",251,17s13,Greg Holmes
A,back-row,555,182cm,101kg,"6' 0""",223,15s13,Michael Hooper
J,hooker,583,180cm,105kg,"5'11""",231,16s 7,Shota Horie
s,centre,508,183cm,93 kg,"6' 0""",205,14s 9,Peter Horne
A,wing,494,186cm,93 kg,"6' 1""",205,14s 9,Rob Horne
f,wing,511,190cm,97 kg,"6' 3""",214,15s 4,Yoann Huget
a,fly-half,486,179cm,87 kg,"5'10""",192,13s10,Santiago Gonzalez Iglesias
a,wing,486,185cm,90 kg,"6' 1""",198,14s 2,Juan Imhoff
J,prop,628,183cm,115kg,"6' 0""",254,18s 2,Keita Inagaki
S,back-row,571,182cm,104kg,"6' 0""",229,16s 5,TJ Ioane
M,wing,524,185cm,97 kg,"6' 1""",214,15s 4,Florin Ionita
a,back-row,564,188cm,106kg,"6' 2""",234,16s10,Facundo Isa
J,Lock,524,191cm,100kg,"6' 3""",220,15s10,Shoji Ito
J,back-row,536,196cm,105kg,"6' 5""",231,16s 7,Justin Ives
I,fly-half,472,178cm,84 kg,"5'10""",185,13s 3,Paddy Jackson
W,fly-half,622,185cm,115kg,"6' 1""",254,18s 2,Paul James
N,scrum-half,444,180cm,80 kg,"5'11""",176,12s 8,Eugene Jantjies
W,prop,634,183cm,116kg,"6' 0""",256,18s 4,Aaron Jarvis
W,prop,644,188cm,121kg,"6' 2""",267,19s 1,Gethin Jenkins
S,prop,725,189cm,137kg,"6' 2""",302,21s 8,Census Johnston
W,Lock,622,196cm,122kg,"6' 5""",269,19s 3,Alun Wyn Jones
C,fullback,465,185cm,86 kg,"6' 1""",190,13s 8,Harry Jones
E,centre,492,183cm,90 kg,"6' 0""",198,14s 2,Jonathan Joseph
G,centre,514,185cm,95 kg,"6' 1""",209,14s13,Davit Kacharava
Z,back-row,577,196cm,113kg,"6' 5""",249,17s11,Jerome Kaino
T,back-row,571,196cm,112kg,"6' 5""",247,17s 9,Sione Kalamafoni
f,hooker,612,183cm,112kg,"6' 0""",247,17s 9,Benjamin Kayser
I,wing,525,181cm,95 kg,"5'11""",209,14s13,David Kearney
U,centre,511,178cm,91 kg,"5'10""",201,14s 5,Seamus Kelly
F,scrum-half,526,175cm,92 kg,"5' 9""",203,14s 7,Nemia Kenatale
A,prop,628,188cm,118kg,"6' 2""",260,18s 8,Sekope Kepu
Z,scrum-half,481,187cm,90 kg,"6' 2""",198,14s 2,Tawera Kerr-Barlow
Y,hooker,568,183cm,104kg,"6' 0""",229,16s 5,German Kessler
G,fly-half,459,185cm,85 kg,"6' 1""",187,13s 5,Lasha Khmaladze
G,scrum-half,442,165cm,73 kg,"5' 5""",161,11s 7,Vazha Khutsishvili
I,fullback,514,185cm,95 kg,"6' 1""",209,14s13,Rob Kierney
U,prop,650,180cm,117kg,"5'11""",258,18s 6,Olive Kilifi
W,back-row,554,193cm,107kg,"6' 4""",236,16s12,James King
M,centre,568,185cm,105kg,"6' 1""",231,16s 7,Paula Kinikinilau
R,fullback,519,185cm,96 kg,"6' 1""",212,15s 2,Zane Kirchner
N,back-row,538,182cm,98 kg,"6' 0""",216,15s 6,Rohan Kitsoff
J,hooker,623,183cm,114kg,"6' 0""",251,17s13,Takeshi Kizu
Y,hooker,514,185cm,95 kg,"6' 1""",209,14s13,Nicolas Klappenbach
f,scrum-half,494,180cm,89 kg,"5'11""",196,14s 0,Rory Kockott
G,back-row,573,192cm,110kg,"6' 4""",243,17s 5,Viktor Kolelishvili
R,back-row,559,188cm,105kg,"6' 2""",231,16s 7,Siya Kolisi
T,Lock,596,198cm,118kg,"6' 6""",260,18s 8,Uili Kolo'ofa'i
F,hooker,649,174cm,113kg,"5' 9""",249,17s11,Sunia Koto
N,fly-half,497,181cm,90 kg,"5'11""",198,14s 2,Theuns Kotze
R,centre,511,186cm,95 kg,"6' 1""",209,14s13,Jesse Kriel
U,scrum-half,465,172cm,80 kg,"5' 8""",176,12s 8,Niku Kruger
E,Lock,571,198cm,113kg,"6' 6""",249,17s11,George Kruis
G,prop,658,187cm,123kg,"6' 2""",271,19s 5,Davit Kubriashvili
A,centre,520,192cm,102kg,"6' 4""",225,16s 1,Tevita Kuridrani
G,fullback,452,177cm,80 kg,"5'10""",176,12s 8,Merab Kvirikashvili
s,scrum-half,457,175cm,80 kg,"5' 9""",176,12s 8,Greig Laidlaw
S,back-row,548,188cm,103kg,"6' 2""",227,16s 3,Jack Lam
Y,back-row,484,188cm,91 kg,"6' 2""",201,14s 5,Franco Lamanna
R,fly-half,492,177cm,87 kg,"5'10""",192,13s10,Pat Lambie
s,wing,559,188cm,105kg,"6' 2""",231,16s 7,Sean Lamont
U,prop,617,183cm,113kg,"6' 0""",249,17s11,Titi Lamositele
a,scrum-half,469,177cm,83 kg,"5'10""",183,13s 1,Martin Landajo
N,prop,649,185cm,120kg,"6' 1""",265,18s13,Raoul Larson
T,back-row,555,182cm,101kg,"6' 0""",223,15s13,Nili Latu
E,Lock,602,196cm,118kg,"6' 5""",260,18s 8,Joe Launchbury
a,Lock,647,201cm,130kg,"6' 7""",287,20s 7,Tomas Lavanini
E,Lock,555,200cm,111kg,"6' 7""",245,17s 7,Courtney Laws
M,prop,603,189cm,114kg,"6' 2""",251,17s13,Mihai Lazar
f,back-row,589,197cm,116kg,"6' 6""",256,18s 4,Bernard Le Roux
R,fullback,486,185cm,90 kg,"6' 1""",198,14s 2,Willie Le Roux
S,centre,541,181cm,98 kg,"5'11""",216,15s 6,Rey Lee-lo
W,prop,639,180cm,115kg,"5'11""",254,18s 2,Samson Lee
a,back-row,547,190cm,104kg,"6' 3""",229,16s 5,Juan Manuel Leguizamon
S,hooker,583,180cm,105kg,"5'11""",231,16s 7,Manu Leiataua
J,back-row,553,190cm,105kg,"6' 3""",231,16s 7,Michael Leitch
Y,wing,500,180cm,90 kg,"5'11""",198,14s 2,Leandro Leivas
J,back-row,593,189cm,112kg,"6' 2""",247,17s 9,Amanaki Lelei Mafi
M,wing,503,189cm,95 kg,"6' 2""",209,14s13,Madalin Lemnaru
S,centre,508,183cm,93 kg,"6' 0""",205,14s 9,Johnny Leota
S,back-row,575,193cm,111kg,"6' 4""",245,17s 7,Faifile Levave
T,fullback,575,193cm,111kg,"6' 4""",245,17s 7,Vunga Lilo
G,scrum-half,424,177cm,75 kg,"5'10""",165,11s11,Vasil Lobzhanidze
T,Lock,588,194cm,114kg,"6' 4""",251,17s13,Tukulua Lokotui
G,back-row,564,195cm,110kg,"6' 5""",243,17s 5,Lasha Lomidze
R,back-row,600,190cm,114kg,"6' 3""",251,17s13,Francois Louw
F,centre,522,182cm,95 kg,"6' 0""",209,14s13,Gabiriele Lovobalavu
M,back-row,519,189cm,98 kg,"6' 2""",216,15s 6,Viorel Lucaci
T,hooker,601,183cm,110kg,"6' 0""",243,17s 5,Aleki Lutui
W,back-row,591,193cm,114kg,"6' 4""",251,17s13,Dan Lydiate
F,prop,641,184cm,118kg,"6' 0""",260,18s 8,Campese Ma'afu
T,back-row,538,186cm,100kg,"6' 1""",220,15s10,Viliami Ma'afu
T,scrum-half,???,???cm,???kg,"?' ?""",???,??s ?,Sosefo Ma'ake
U,fly-half,492,185cm,91 kg,"6' 1""",201,14s 5,AJ MacGinty
C,scrum-half,453,170cm,77 kg,"5' 7""",170,12s 2,Phil Mack
C,scrum-half,514,173cm,89 kg,"5' 8""",196,14s 0,Jamie Mackenzie
C,wing,519,185cm,96 kg,"6' 1""",212,15s 2,Phil Mackenzie
M,back-row,482,195cm,94 kg,"6' 5""",207,14s11,Mihai Macovei
I,fly-half,506,180cm,91 kg,"5'11""",201,14s 5,Ian Madigan
f,Lock,599,202cm,121kg,"6' 8""",267,19s 1,Yoann Maestri
T,Lock,557,201cm,112kg,"6' 7""",247,17s 9,Steve Mafi
Y,Lock,465,187cm,87 kg,"6' 2""",192,13s10,Diego Magno
T,prop,622,185cm,115kg,"6' 1""",254,18s 2,Tevita Mailau
G,hooker,536,181cm,97 kg,"5'11""",214,15s 4,Simon Maisuradze
s,wing,513,189cm,97 kg,"6' 2""",214,15s 4,Sean Maitland
J,Lock,615,192cm,118kg,"6' 4""",260,18s 8,Shinya Makabe
G,fly-half,476,185cm,88 kg,"6' 1""",194,13s12,Lasha Malaghuradze
R,prop,653,190cm,124kg,"6' 3""",273,19s 7,Frans Malherbe
G,hooker,576,177cm,102kg,"5'10""",225,16s 1,Shalva Mamukashvili
i,hooker,568,183cm,104kg,"6' 0""",229,16s 5,Andrea Manici
U,back-row,616,198cm,122kg,"6' 6""",269,19s 3,Samu Manoa
N,wing,518,193cm,100kg,"6' 4""",220,15s10,Conrad Marais
E,prop,598,184cm,110kg,"6' 0""",243,17s 5,Joe Marler
C,prop,568,190cm,108kg,"6' 3""",238,17s 0,Jason Marshall
f,prop,600,180cm,108kg,"5'11""",238,17s 0,Nicolas Mas
i,fullback,495,186cm,92 kg,"6' 1""",203,14s 7,Andrea Masi
F,back-row,574,190cm,109kg,"6' 3""",240,17s 2,Sakiusa Matadigo
F,fly-half,605,185cm,112kg,"6' 1""",247,17s 9,Josh Matavesi
F,scrum-half,468,173cm,81 kg,"5' 8""",179,12s11,Nikola Matawalu
a,back-row,570,193cm,110kg,"6' 4""",243,17s 5,Pablo Matera
R,Lock,547,201cm,110kg,"6' 7""",243,17s 5,Victor Matfield
J,centre,503,175cm,88 kg,"5' 9""",194,13s12,Kotaro Matsushima
S,hooker,587,184cm,108kg,"6' 0""",238,17s 0,Motu Matu'u
E,wing,479,188cm,90 kg,"6' 2""",198,14s 2,Jonny May
A,back-row,552,192cm,106kg,"6' 4""",234,16s10,Ben McCalman
Z,back-row,574,188cm,108kg,"6' 2""",238,17s 0,Richie McCaw
U,back-row,560,193cm,108kg,"6' 4""",238,17s 0,Al McFarlan
I,prop,659,185cm,122kg,"6' 1""",269,19s 3,Jack McGrath
s,hooker,553,190cm,105kg,"6' 3""",231,16s 7,Stuart McInally
i,fullback,500,190cm,95 kg,"6' 3""",209,14s13,Luke McLean
A,back-row,538,186cm,100kg,"6' 1""",220,15s10,Sean McMahon
C,scrum-half,457,175cm,80 kg,"5' 9""",176,12s 8,Gordon McRorie
G,centre,538,195cm,105kg,"6' 5""",231,16s 7,Tamaz Mchedlidze
Z,hooker,613,181cm,111kg,"5'11""",245,17s 7,Keven Mealamu
Z,back-row,574,188cm,108kg,"6' 2""",238,17s 0,Liam Messam
f,fly-half,467,182cm,85 kg,"6' 0""",187,13s 5,Frederic Michalak
Y,wing,393,178cm,70 kg,"5'10""",154,11s 0,Gaston Mieres
J,prop,646,178cm,115kg,"5'10""",254,18s 2,Masataka Mikami
G,Lock,575,200cm,115kg,"6' 7""",254,18s 2,Konstantin Mikautadze
